sigma,UI_along_IC_curve,UM_at_phi_star
0.29613065,-0.094768764,0.032423984
0.29809045,-0.096684449,0.030448744
0.30005025,-0.098624701,0.028419944
0.30201005,-0.10058939,0.026336826
0.30396985,-0.10257841,0.02419863
0.30592965,-0.10459162,0.022004587
0.30788945,-0.10662893,0.019753928
0.30984925,-0.10869021,0.017445876
0.31180905,-0.11077536,0.015079652
0.31376884,-0.11288427,0.012654471
0.31572864,-0.11501685,0.010169544
0.31768844,-0.11717299,0.0076240767
0.31964824,-0.11935259,0.0050172705
0.32160804,-0.12155557,0.0023483227
0.32356784,-0.12378183,-0.00038357432
0.32552764,-0.12603129,-0.0031792327
0.32748744,-0.12830385,-0.0060394692
0.32944724,-0.13059944,-0.008965105
0.33140704,-0.13291796,-0.011956966
0.33336683,-0.13525935,-0.015015883
0.33532663,-0.13762353,-0.01814269
0.33728643,-0.14001041,-0.021338228
0.33924623,-0.14241994,-0.02460334
0.34120603,-0.14485202,-0.027938875
0.34316583,-0.14730661,-0.031345687
0.34512563,-0.14978362,-0.034824632
0.34708543,-0.15228299,-0.038376575
0.34904523,-0.15480466,-0.042002381
0.35100503,-0.15734857,-0.045702923
0.35296482,-0.15991465,-0.049479076
0.35492462,-0.16250285,-0.053331721
0.35688442,-0.1651131,-0.057261744
0.35884422,-0.16774535,-0.061270034
0.36080402,-0.17039955,-0.065357486
0.36276382,-0.17307564,-0.069524999
0.36472362,-0.17577356,-0.073773476
0.36668342,-0.17849328,-0.078103826
0.36864322,-0.18123473,-0.082516962
0.37060302,-0.18399787,-0.087013799
0.37256281,-0.18678265,-0.091595262
0.37452261,-0.18958903,-0.096262275
0.37648241,-0.19241696,-0.10101577
0.37844221,-0.19526639,-0.10585668
0.38040201,-0.19813729,-0.11078595
0.38236181,-0.2010296,-0.11580453
0.38432161,-0.2039433,-0.12091335
0.38628141,-0.20687833,-0.12611338
0.38824121,-0.20983466,-0.13140558
0.39020101,-0.21281225,-0.1367909
0.3921608,-0.21581107,-0.14227032
0.3941206,-0.21883107,-0.1478448
0.3960804,-0.22187222,-0.15351533
0.3980402,-0.22493449,-0.15928288
0.4,-0.22801785,-0.16514845
