r_minus_rf,flow_F
0.14855263,0.77452606
0.15118421,0.79819295
0.15381579,0.82220611
0.15644737,0.84656553
0.15907895,0.87127121
0.16171053,0.89632315
0.16434211,0.92172135
0.16697368,0.94746581
0.16960526,0.97355653
0.17223684,0.99999351
0.17486842,1.0267767
0.1775,1.0539062
0.18013158,1.081382
0.18276316,1.109204
0.18539474,1.1373723
0.18802632,1.1658869
0.19065789,1.1947477
0.19328947,1.2239547
0.19592105,1.2535081
0.19855263,1.2834076
0.20118421,1.3136535
0.20381579,1.3442456
0.20644737,1.375184
0.20907895,1.4064686
0.21171053,1.4380995
0.21434211,1.4700766
0.21697368,1.5024
0.21960526,1.5350697
0.22223684,1.5680856
0.22486842,1.6014478
0.2275,1.6351562
0.23013158,1.669211
0.23276316,1.7036119
0.23539474,1.7383592
0.23802632,1.7734526
0.24065789,1.8088924
0.24328947,1.8446784
0.24592105,1.8808107
0.24855263,1.9172892
0.25118421,1.954114
0.25381579,1.9912851
0.25644737,2.0288024
0.25907895,2.0666659
0.26171053,2.1048758
0.26434211,2.1434319
0.26697368,2.1823342
0.26960526,2.2215828
0.27223684,2.2611777
0.27486842,2.3011189
0.2775,2.3414063
0.28013158,2.3820399
0.28276316,2.4230198
0.28539474,2.464346
0.28802632,2.5060184
0.29065789,2.5480371
0.29328947,2.5904021
0.29592105,2.6331133
0.29855263,2.6761708
0.30118421,2.7195745
0.30381579,2.7633245
0.30644737,2.8074208
0.30907895,2.8518633
0.31171053,2.8966521
0.31434211,2.9417871
0.31697368,2.9872684
0.31960526,3.033096
0.32223684,3.0792698
0.32486842,3.1257899
0.3275,3.1726562
0.33013158,3.2198689
0.33276316,3.2674277
0.33539474,3.3153328
0.33802632,3.3635842
0.34065789,3.4121819
0.34328947,3.4611258
0.34592105,3.5104159
0.34855263,3.5600524
0.35118421,3.6100351
0.35381579,3.660364
0.35644737,3.7110392
0.35907895,3.7620607
0.36171053,3.8134284
0.36434211,3.8651424
0.36697368,3.9172026
0.36960526,3.9696092
0.37223684,4.0223619
0.37486842,4.075461
0.3775,4.1289062
0.38013158,4.1826978
0.38276316,4.2368356
0.38539474,4.2913197
0.38802632,4.34615
0.39065789,4.4013266
0.39328947,4.4568495
0.39592105,4.5127186
0.39855263,4.568934
0.40118421,4.6254956
0.40381579,4.6824035
0.40644737,4.7396576
0.40907895,4.7972581
0.41171053,4.8552047
0.41434211,4.9134977
0.41697368,4.9721369
0.41960526,5.0311223
0.42223684,5.090454
0.42486842,5.150132
0.4275,5.2101562
0.43013158,5.2705267
0.43276316,5.3312435
0.43539474,5.3923065
0.43802632,5.4537158
0.44065789,5.5154713
0.44328947,5.5775731
0.44592105,5.6400212
0.44855263,5.7028155
0.45118421,5.7659561
0.45381579,5.829443
0.45644737,5.8932761
0.45907895,5.9574554
0.46171053,6.021981
0.46434211,6.0868529
0.46697368,6.1520711
0.46960526,6.2176355
0.47223684,6.2835461
0.47486842,6.3498031
0.4775,6.4164062
0.48013158,6.4833557
0.48276316,6.5506514
0.48539474,6.6182934
0.48802632,6.6862816
0.49065789,6.7546161
0.49328947,6.8232968
0.49592105,6.8923238
0.49855263,6.9616971
0.50118421,7.0314166
0.50381579,7.1014824
0.50644737,7.1718945
0.50907895,7.2426528
0.51171053,7.3137574
0.51434211,7.3852082
0.51697368,7.4570053
0.51960526,7.5291486
0.52223684,7.6016382
0.52486842,7.6744741
0.5275,7.7476562
0.53013158,7.8211846
0.53276316,7.8950593
0.53539474,7.9692802
0.53802632,8.0438474
0.54065789,8.1187608
0.54328947,8.1940205
0.54592105,8.2696265
0.54855263,8.3455787
0.55118421,8.4218772
0.55381579,8.4985219
0.55644737,8.5755129
0.55907895,8.6528502
0.56171053,8.7305337
0.56434211,8.8085635
0.56697368,8.8869395
0.56960526,8.9656618
0.57223684,9.0447303
0.57486842,9.1241452
0.5775,9.2039062
