A0,sigma_star,phi_star
0.5,0.13093401,0.040864762
0.66666667,0.12993574,0.040404068
0.83333333,0.12895086,0.039946424
1,0.12798235,0.039490693
1.1666667,0.12702871,0.039038025
1.3333333,0.12609144,0.038588022
1.5,0.12517054,0.038141016
1.6666667,0.12426451,0.037698009
1.8333333,0.12337633,0.03725784
2,0.12250303,0.03682214
2.1666667,0.12164759,0.036389736
2.3333333,0.12080999,0.035960834
2.5,0.11998877,0.035536263
2.6666667,0.1191839,0.035116148
2.8333333,0.1183954,0.034700587
3,0.11762476,0.034289044
