f2,mae_pct
5,0.098799581
8.6666667,0.0998659
12.333333,0.097060584
16,0.093035194
19.666667,0.088816719
23.333333,0.084771224
27,0.081014447
30.666667,0.077570253
34.333333,0.074423528
38,0.071549436
41.666667,0.068917103
45.333333,0.066501268
49,0.064276751
52.666667,0.062221486
56.333333,0.060317542
60,0.058549265
